step,agv_actor_loss,agv_value_loss,agv_entropy,agv_approx_kl,pick_actor_loss,pick_value_loss,pick_entropy,pick_approx_kl,agv_grad_norm,pick_grad_norm
1024,0.145122482907027,0.20421237987466156,4.569029405713081,1.6486709341406822,0.13350480236113071,0.28804337815381587,4.526645228266716,2.3254893235862255,1.1489668227732182,1.35107297077775
2048,0.09573409255244769,0.15606572129763663,3.7520869821310043,0.9096215665340424,0.12649797729682177,0.1670229455921799,2.8859148770570755,1.5965259373188019,0.9007824463769794,0.9843598511070013
3072,0.06179567193612456,0.06635274912696332,2.7767478227615356,0.551351998001337,0.10876313806511462,0.0872541491407901,2.420150950551033,1.1592825315892696,0.9731486020609736,1.2814885023981333
4096,0.03971602054662071,0.09646015358157456,2.3122038021683693,0.3405897496268153,0.10645816137548536,0.0248811402998399,1.9807995781302452,0.8237531911581755,0.8299739602953196,0.6566976243630052
5120,0.01549602321756538,0.1638217163272202,1.9575542621314526,0.25407378003001213,0.08932205685414374,0.016250028740614653,1.6386683955788612,0.6897879894822836,0.9149168748408556,0.38336125621572137
6144,0.009440802634344436,0.0664572702953592,1.5775124542415142,0.22630474576726556,0.080758423457155,0.005194973782636225,1.8721165098249912,0.5428899498656392,0.42774795973673463,0.37613749504089355
7168,0.005947083162027411,0.07291651016566902,1.5640245229005814,0.1920213596895337,0.053276127902790904,0.006817964000219945,1.7279663272202015,0.48179912008345127,0.4185748095624149,0.4266790971159935
8192,-4.2315718019381166e-05,0.04011050006374717,1.5960361324250698,0.1789859952405095,0.02922381745884195,0.004723955535155255,1.5537159480154514,0.3727938076481223,0.5047627110034227,0.372045770753175
9216,0.007152848891564645,0.07482917059678584,1.6206659264862537,0.18090069061145186,0.005019840406021103,0.003982743361120811,1.3827716894447803,0.2630310980603099,0.6659851870499551,0.4358171527273953
10240,0.004023824309115298,0.1302027388010174,1.642552100121975,0.19559964444488287,0.011384745535906404,0.004411236288433429,1.2935260869562626,0.24217195762321353,0.49775859620422125,0.38576370663940907
11264,0.00012879552377853543,0.07125911570619792,1.597850814461708,0.18011905765160918,-0.005632465850794688,0.005086141485662665,1.219460230320692,0.23365969490259886,0.5738955936394632,0.30185260344296694
12288,-0.0009150325640803203,0.07423239341005683,1.515263568609953,0.17643026541918516,-0.0009217002370860428,0.0034599189457367174,1.0223507788032293,0.1368347485549748,0.49928443878889084,0.37527958396822214
13312,-0.0028851996903540567,0.0571191479684785,1.5124934054911137,0.18617783626541495,0.0070633867144351825,0.004114784096600488,1.1385260000824928,0.16700699692592025,0.355322593357414,0.5073702340014279
14336,0.0018097104621119797,0.08418110897764564,1.5979189425706863,0.18934716889634728,-0.004410959387314506,0.05659922138147522,1.1323233805596828,0.16349415760487318,0.3544807508587837,0.4020509575493634
15360,-0.001090323639800772,0.07923385419417173,1.5291073247790337,0.17789635527879,-0.008122836967231706,0.007666542354854755,1.364110916852951,0.2728757746517658,0.39679662557318807,0.3028735027182847
