step,total_steps,agv_actor_loss,agv_value_loss,agv_entropy,agv_approx_kl,pick_actor_loss,pick_value_loss,pick_entropy,pick_approx_kl
1024,1024,0.18702064687386155,0.019782825344009325,4.498786240816116,1.2938991393893957,0.27450176049023867,0.01326736094779335,4.465384364128113,3.848818689584732
2048,2048,0.10784077714197338,0.006127667133114301,3.892226457595825,0.7220057193189859,0.29397578816860914,0.004642138061171863,3.924995519220829,3.864748992025852
3072,3072,0.0543077104666736,0.004345332687080372,3.3878992050886154,0.474742766469717,0.17282340012025088,0.0009907317671604687,2.848373916000128,1.5262046875432134
4096,4096,0.07081772020319477,0.0035678475178428926,3.2447641789913177,0.5546824932098389,-0.003941733142710291,0.0013763047572865617,1.0849263425916433,0.16063866252079606
5120,5120,0.11180480406619608,0.002988156586070545,3.2087973579764366,0.627277797088027,0.14962097466923296,0.0018605798941280227,1.7152573503553867,0.8123111464083195
6144,6144,0.11338196240831167,0.008887638236046769,3.172207124531269,0.8915278967469931,0.22953275428153574,0.009427816941752099,3.2029653154313564,2.8905830308794975
7168,7168,0.07619272888405249,0.010067982817417942,2.9233276695013046,0.7296554818749428,0.04040324134984985,0.013230336000560783,0.9226843696087599,1.442856539040804
8192,8192,0.13512573903426528,0.01328193508379627,2.9669930189847946,1.0661883130669594,0.09785812202608213,0.005214518751017749,1.3557259067893028,1.4829144030809402
9216,9216,0.12177558708935976,0.015502605005167425,2.766098864376545,0.944952942430973,0.07487140753073618,0.010941171000013128,1.029194274917245,1.539940744638443
10240,10240,0.0905054883332923,0.016958146763499826,2.827795647084713,0.8113395608961582,0.17247842019423842,0.019475466280709952,1.9392701908946037,1.954225055873394
11264,11264,0.10838855872862041,0.01214538756175898,2.7913368567824364,0.8150560390204191,0.12404567783232778,0.016820845514303073,1.2203682251274586,1.5310422852635384
12288,12288,0.12152953783515841,0.007916330680018291,2.644232042133808,0.7431731428951025,0.08765996136935428,0.012940082830027677,1.0488030295819044,1.3104707561433315
13312,13312,0.08844308147672564,0.008666669062222354,2.636240243911743,0.6232878677546978,0.027871073631104082,0.012351797966402955,1.0615443531423807,0.4636497078463435
