step,total_steps,agv_actor_loss,agv_value_loss,agv_entropy,agv_approx_kl,pick_actor_loss,pick_value_loss,pick_entropy,pick_approx_kl
15360,15360,0.11894607578869909,0.008695091615663841,2.423978805541992,0.9119821861386299,0.0020714426354970783,0.0024024919730436523,0.7743608485907316,0.8254600390791893
16384,16384,0.11994586267974228,0.007647385835298337,2.3496214151382446,0.8977229930460453,0.022132044163299724,0.0007605640630572452,0.7387253898195922,1.1071034837514162
17408,17408,0.11853495019022375,0.005682169226929545,2.2268353328108788,0.8404613211750984,0.034501908579841256,0.0005464509386001737,0.09623110224492848,2.7544361352920532
18432,18432,0.09737655019853264,0.003968551191064762,2.17991840839386,0.8253426849842072,-0.0038267765776254237,0.0005229632915870752,0.1038047291804105,0.41743273939937353
19456,19456,0.12998334039002657,0.0039364038057101425,2.1906571686267853,0.9355379082262516,0.018124503956642002,0.0016494437877554446,0.11705926689319313,3.0567295104265213
20480,20480,0.13167154602706432,0.006474386071204208,2.336387038230896,1.040842179208994,-0.0019094039962510578,0.0038203691110538784,0.11514311656355858,1.191401969641447
21504,21504,0.10277060815133154,0.003491098243102897,2.485046796500683,1.0237423181533813,0.009662520023994148,0.005935491913987789,0.10835786978714168,0.6453117430210114
22528,22528,0.11303138639777899,0.005393803461629432,2.177451305091381,1.0203294288367033,-0.007263892504852265,0.004851171979680657,0.14310391480103135,1.29984425380826
23552,23552,0.09662558569107205,0.005998900895065162,2.3131529688835144,0.8680529743432999,0.024605751503258944,0.0024468660903949058,0.22371642105281353,2.6273835226893425
24576,24576,0.09819356619846076,0.005933803375228308,2.2767728939652443,0.8373418245464563,-0.004020027699880302,0.002873624842322897,0.6235306225717068,1.6524704843759537
25600,25600,0.16598618729040027,0.019192999803635757,2.2320229932665825,1.0357193369418383,-0.00866426422726363,0.002628196280056727,0.5650430144742131,1.678724031895399
26624,26624,0.09987093519885093,0.00978819772717543,2.247601844370365,0.905933590605855,0.028570436159498058,0.0027606396542978473,0.1719526124652475,1.7700056806206703
