step,agv_actor_loss,agv_value_loss,agv_entropy,agv_approx_kl,pick_actor_loss,pick_value_loss,pick_entropy,pick_approx_kl
1024,0.183989625191316,0.04134217946557328,4.519327059388161,1.603909220546484,0.19873524829745293,0.046917732746805996,4.43869761377573,1.95440673828125
2048,0.08178125810809433,0.031021034170407802,3.631068639457226,0.6052447026595473,0.10177430335897952,0.013553154742112383,3.0354773104190826,0.7213422656059265
3072,0.011353386988048442,0.020640540518797934,3.030820570886135,0.27381033170968294,0.034212263650260866,0.009064076526556164,2.2840373814105988,0.3436603285372257
4096,0.008406472130445763,0.018640712049091235,2.8745561242103577,0.21135861799120903,0.017875646648462862,0.006258870169403963,2.0355865582823753,0.2574396878480911
5120,0.051503553288057446,0.020955090323695913,2.8380039259791374,0.30871017556637526,0.031753001268953085,0.003640992181317415,1.9412230513989925,0.26063624303787947
6144,0.09812773845624179,0.019905860885046422,2.6478150486946106,0.7142770942300558,0.02652699130703695,0.002229275258287089,1.5871432684361935,0.34495651721954346
7168,0.03377052562427707,0.024460856744553894,2.4130421429872513,0.36792468279600143,0.000361897109542042,0.009354235633509234,1.3767682686448097,0.21552605461329222
8192,0.028933333698660135,0.025729363202117383,2.263745851814747,0.30431360471993685,0.002063253428786993,0.009847444271144923,1.194391693919897,0.16286042286083102
9216,0.02302167675225064,0.021945973217952996,2.075385246425867,0.2828221647068858,-0.0032755410647951066,0.0016255557675322052,1.2927448339760303,0.1696937414817512
10240,0.01568571725510992,0.025509225553832948,1.8664575330913067,0.2515184683725238,0.0001930864673340693,0.0031202209065668285,1.2844415493309498,0.16516300244256854
11264,0.007704907126026228,0.02699420478893444,1.4997046068310738,0.1917750588618219,-0.01231138821458444,0.0033389218588126823,1.4732456877827644,0.21537316078320146
12288,0.004635355086065829,0.022111902944743633,1.6399427652359009,0.18282872578129172,-0.017676793911959976,0.001435874008166138,1.188793744891882,0.1677480915095657
13312,0.0031323629518738016,0.021885948081035167,1.6748966798186302,0.1933819893747568,-0.00631303497357294,0.007815932869561948,1.1408916469663382,0.16674742312170565
14336,0.00041911317384801805,0.022542786377016455,1.5255902968347073,0.18982848385348916,0.012254397966898978,0.002446247570333071,0.5589911816641688,0.0642624496249482
15360,-0.00738852922222577,0.021727861370891333,1.3597132824361324,0.16557405004277825,-0.003312036773422733,0.004555899598926771,0.6908518653362989,0.06131978263147175
16384,0.0046822102449368685,0.018329768121475354,1.229001708328724,0.13245435408316553,0.0008575917745474726,0.0004131557157052157,0.7351395785808563,0.0701768402941525
17408,0.0014409271825570613,0.027371708652935922,1.3426612727344036,0.14277715468779206,0.001180245220893994,0.0003571730489966285,0.9150142278522253,0.09793936251662672
18432,-0.0048884208663366735,0.022194892982952297,1.4174694269895554,0.1738910279236734,-0.004602018336299807,0.0006209703587956028,1.3386848717927933,0.15337673830799758
19456,0.0017011684103636071,0.03605882980627939,1.4395056515932083,0.15991922421380877,-0.00861526999506168,0.007472057470295113,1.529410246759653,0.1989281284622848
20480,0.0063394598255399615,0.039214242598973215,1.4490126110613346,0.1789131611585617,0.00039227496017701924,0.009998234272643458,1.5126993246376514,0.20214439602568746
21504,0.0013046599342487752,0.03934369480703026,1.467066016048193,0.1974322386085987,-0.011550204595550895,0.008782523047557333,1.5145788714289665,0.20576872862875462
22528,0.0012127367372158915,0.029829722945578396,1.4915637969970703,0.18943484453484416,-0.002156731381546706,0.007928083563456312,1.3353963755071163,0.17657107301056385
23552,0.003274361675721593,0.028093642555177212,1.3971255719661713,0.17656818218529224,-0.012669280025875196,0.0014465289332292741,1.3367942571640015,0.16761205345392227
24576,0.0020664348267018795,0.019232751743402332,1.4650532752275467,0.15558400005102158,-0.010826830053701997,0.0011120379840576788,1.1983761582523584,0.13676297664642334
25600,0.0002486523299012333,0.02476259763352573,1.589942879974842,0.18048969050869346,-0.010741418896941468,0.012800460754078813,1.5587242506444454,0.21829967433586717
26624,0.0005648970836773515,0.025763051526155323,1.3628674522042274,0.1448126786854118,-0.00035929508158005774,0.012129347698646598,1.4030429981648922,0.19335028668865561
27648,0.00470953880721936,0.03242353745736182,1.449378464370966,0.16575049655511975,-0.015161734452703968,0.003996896346507128,1.2192211337387562,0.1541803504806012
28672,-0.000396665622247383,0.029855425760615617,1.556436538696289,0.1673157587647438,-0.01076297223335132,0.02260692627169192,1.5151224471628666,0.2647113283164799
29696,0.0008088852628134191,0.026996557193342596,1.5067368671298027,0.18881065538153052,0.011430312471929938,0.005991539248498157,0.5320705780759454,0.11910924641415477
30720,0.00046628506970591843,0.016281805030303076,1.3914851807057858,0.19830867601558566,-0.0011255367717240006,0.003696784424391808,0.35464935936033726,0.03157145989825949
31744,-0.00031687176669947803,0.02076198675786145,1.3600378446280956,0.1924024266190827,-0.007382856943877414,0.000759689948608866,0.8162916889414191,0.10772914835251868
32768,0.003992059646407142,0.018831692927051336,1.4048731066286564,0.150760177988559,-0.0067641001514857635,0.0003472519056231249,1.0433352552354336,0.14410767192021012
33792,0.0001630718179512769,0.017001431580865756,1.396897904574871,0.1539300363510847,-0.01655764560564421,0.0004536289106908953,1.152981135994196,0.15301394509151578
34816,-0.000644778716377914,0.03672540350817144,1.40232527628541,0.1799800512380898,-0.013736425797105767,0.017380073899403214,1.558112096041441,0.2816672786138952
35840,-0.005649827347951941,0.02673013269668445,1.3389789797365665,0.1767403082922101,-0.030099336057901382,0.010437376535264775,0.8955370094627142,0.19528285739943385
36864,0.010031444471678697,0.025836493587121367,1.3921458646655083,0.20251893112435937,-0.019055053358897567,0.009510522642813157,0.9622769318521023,0.19655081583186984
37888,0.00017242235480807722,0.027659479063004255,1.3870184570550919,0.20763256028294563,-0.004044271074235439,0.004490114944928791,0.6463260427117348,0.11053801199886948
38912,-0.003755104844458401,0.01743384968722239,1.2521583698689938,0.18507057940587401,0.0029832042928319424,0.003076120941841509,0.17365044727921486,0.022354870452545583
39936,-0.004827549200854264,0.02076627395581454,1.226064309477806,0.17551892064511776,2.6472669560462236e-05,0.0010593063525448088,0.09299746924079955,0.006694851326756179
40960,-0.0062564043764723465,0.04087963351048529,1.0663718543946743,0.15633984887972474,-0.000861623149830848,0.01636928790685488,0.11232428532093763,0.008454171766061336
41984,0.0006999277393333614,0.01922704034950584,1.1301107071340084,0.18276791041716933,-0.0011097890383098274,0.0067250900028739125,0.174434594810009,0.015389101346954703
43008,0.0001048705744324252,0.022482248896267265,1.1066267751157284,0.1674937275238335,-0.03025707192136906,0.003520927497447701,0.8099903995171189,0.1556388124008663
44032,-0.011234780446102377,0.02636624942533672,1.062010994181037,0.13475569081492722,-0.03921467380132526,0.0009537782207189593,0.8511770125478506,0.182321589672938
45056,-0.0011657920549623668,0.02755890297703445,1.2017514742910862,0.16312934318557382,-0.019312720542075112,0.0031912865888443775,1.6496650874614716,0.5354047827422619
46080,0.00148472666478483,0.030633338959887624,0.8433312308043242,0.10249220603145659,0.014621665817685425,0.0194469373091124,0.17041105800308287,0.05311142580467276
47104,-0.0029106323345331475,0.027805856720078737,0.929383622482419,0.1359459082596004,-0.0006439113058149815,0.002115934905305039,0.05313616758212447,0.004106649605091661
48128,-0.001051819883286953,0.029089823307003826,1.0652240924537182,0.1501919748261571,-0.007633110100869089,0.00181036485992081,0.18178116623312235,0.02180640574079007
