step,agv_actor_loss,agv_value_loss,agv_entropy,agv_approx_kl,pick_actor_loss,pick_value_loss,pick_entropy,pick_approx_kl,agv_grad_norm,pick_grad_norm
1024,0.14626263175159693,0.3201301209628582,4.5987410843372345,1.7144613228738308,0.18381802970543504,0.15232595708221197,4.575892627239227,2.339636318385601,0.3717518439516425,0.41717367386445403
2048,0.130741351749748,0.3620198084972799,4.359706684947014,1.2798504196107388,0.1298456060467288,0.22216424020007253,3.866114027798176,1.2423624284565449,0.724951459094882,0.6434147451072931
3072,0.09664632624480873,0.4818011103197932,4.062267303466797,0.8927471693605185,0.11536542291287333,0.25628805439919233,3.602279916405678,0.9926068726927042,0.9083196371793747,0.7162202848121524
4096,0.10409855967736803,0.13306018291041255,4.062501631677151,0.8615691773593426,0.1401210860349238,0.0477523403824307,4.079890884459019,1.3065066747367382,0.5216233264654875,0.6023032190278172
5120,0.09903816890437156,0.29292565770447254,4.174576811492443,1.171227838844061,0.10657574181095697,0.19343567453324795,3.7360157892107964,1.1738672405481339,0.5198659487068653,0.7371320715174079
6144,0.10696767445188016,0.28357876278460026,4.23758690059185,1.0631110537797213,0.11908449477050453,0.20051270769909024,3.688297986984253,1.0436541866511106,0.6235670763999224,1.0256569162011147
7168,0.11571676726453006,0.3054034551605582,4.174379393458366,1.2150034941732883,0.08077380029135384,0.1640008995309472,3.533446490764618,1.0738435816019773,0.6315708756446838,0.7625303771346807
8192,0.10632352612446994,0.3544557522982359,3.940985955297947,0.9308930560946465,0.08470072843192611,0.2061328305862844,3.724858433008194,1.3226109966635704,0.7061215527355671,0.8132819617167115
9216,0.10069362708600238,0.3910088874399662,4.054382644593716,0.9709889385849237,0.15666640037670732,0.20927451574243605,3.860355608165264,1.3298028018325567,0.9670797511935234,1.2570794709026814
10240,0.13288518483750522,0.4384295493364334,4.021914422512054,0.9778615403920412,0.1189844542532228,0.19116090005263686,3.8992894291877747,1.41270761936903,0.7699747979640961,0.7165173767134547
11264,0.08760750183137134,0.58964086137712,4.056787475943565,0.8717554248869419,0.11619031202280894,0.27188287395983934,3.9494430869817734,1.345016859471798,1.0137489214539528,0.9508202690631151
12288,0.09212286293040961,0.41927178390324116,3.9475215449929237,0.8603095356374979,0.11201046616770327,0.19486622978001833,3.9716210439801216,1.5379283837974072,0.9613170437514782,0.9429051838815212
13312,0.08627141450415365,0.5164040429517627,3.98798930644989,0.8749889396131039,0.1380425754468888,0.2681750627234578,3.9449061825871468,1.554846327751875,0.8529302375391126,0.8795568021014333
14336,0.07314494358433876,0.7017349964007735,3.9637200981378555,0.8071671463549137,0.11653564404696226,0.18049878114834428,3.9298339560627937,1.6665386706590652,0.9912993665784597,1.0133006684482098
15360,0.0725235139252618,0.4442664450034499,3.9551101326942444,0.9118341021239758,0.09272110881283879,0.17452996131032705,3.898779481649399,1.56811960414052,0.7868093559518456,0.9837152250111103
16384,0.07503053301479667,0.46696281619369984,3.836269833147526,0.8111987095326185,0.09712836286053061,0.2305969230365008,3.4766747653484344,1.1297802701592445,0.8008368825539947,0.9959750762209296
17408,0.07659144594799727,0.4214388830587268,3.9050929620862007,0.8081558085978031,0.1043891257722862,0.13513567671179771,3.4170945584774017,0.9180650096386671,0.8521096799522638,1.037944769486785
18432,0.07748919707955793,0.3412744961678982,3.997453048825264,0.912499314174056,0.07733061126782559,0.14940504368860275,3.855625346302986,1.3223007768392563,0.8209080081433058,0.9546246556565166
19456,0.09613385295961052,0.30095958057790995,3.834154322743416,0.8491656798869371,0.12669402942992747,0.12792984093539417,3.551968701183796,1.145188719034195,0.7136850534006953,0.8496142560616136
20480,0.07334113886463456,0.453051982447505,3.9999780729413033,0.9256026390939951,0.10412017715862021,0.179941913112998,3.6830584034323692,1.2075303681194782,1.0058022569864988,1.0943861957639456
21504,0.10424062621314079,0.350685381796211,3.883813723921776,0.8600281085819006,0.11641358735505491,0.09341697092168033,3.4586312994360924,0.9862159248441458,1.214817175641656,1.1484610494226217
22528,0.07720905018504709,0.410051547922194,3.8930107951164246,0.8581351209431887,0.08814040257129818,0.14534237585030496,3.5673875138163567,1.183589467778802,1.0779523188248277,1.15052486397326
23552,0.0663303451729007,0.4441398736089468,3.8735167384147644,0.8213017415255308,0.11575834557879716,0.11995900212787092,3.675921142101288,1.337826494127512,1.001728616654873,1.1930894702672958
24576,0.06884614290902391,0.3941345401108265,3.8302504643797874,0.8475163578987122,0.07237403886392713,0.13652640325017273,3.5732275247573853,1.3097017481923103,1.4854768849909306,1.0908999219536781
25600,0.08632916869828478,0.31985456496477127,3.85723277926445,0.8195477481931448,0.11512910237070173,0.10024420614354312,3.7534478157758713,1.4996601827442646,0.9550328012555838,1.0378150613978505
26624,0.07255616664770059,0.36783747002482414,3.791814722120762,0.7368098571896553,0.10545762296533212,0.1452846280299127,3.6353608146309853,1.2984209060668945,1.0403951164335012,1.1574400942772627
27648,0.08259756152983755,0.294182441662997,3.9229129254817963,0.8412416148930788,0.08184828044613823,0.11321239522658288,3.673366405069828,1.2234357055276632,1.1574369836598635,1.171102276071906
28672,0.11427971790544689,0.46432535350322723,3.9118413478136063,0.8827558606863022,0.0746432997402735,0.12480166577734053,3.631715826690197,1.2506307195872068,1.6700092535465956,1.0515233539044857
