step,total_steps,agv_actor_loss,agv_value_loss,agv_entropy,agv_approx_kl,pick_actor_loss,pick_value_loss,pick_entropy,pick_approx_kl
1024,1024,0.19718430726788938,0.024097673129290342,4.57463912665844,1.4070482514798641,0.2526146085001528,0.02044138390920125,3.950621396303177,3.307059422135353
2048,2048,0.11711503623519093,0.018788239744026214,3.9410720467567444,0.7638562824577093,0.12465443112887442,0.00966455164598301,0.9077027421444654,2.3845539167523384
3072,3072,0.0826963356230408,0.015812552359420806,3.538365699350834,0.6512936297804117,0.14779576449654996,0.005602885408734437,1.2474653758108616,2.8741225451231003
4096,4096,0.06396085978485644,0.0086383358866442,3.267688199877739,0.5456840079277754,0.15454731066711247,0.004491759384109173,1.437742568552494,2.902720421552658
5120,5120,0.07741180993616581,0.005795930614112876,3.1126729398965836,0.42653638683259487,0.14891093358164653,0.002053920270554954,0.584124187938869,5.633257985115051
6144,6144,0.11186912760604173,0.011877972690854222,3.026019126176834,0.7923958655446768,0.008099748694803566,0.003755812424060423,0.23336025280877948,1.0316712614148855
7168,7168,0.09876583493314683,0.006613981517148204,2.8100633323192596,0.7596119474619627,0.03264281482552178,0.0035203380102757365,0.392032356467098,0.6352596050128341
8192,8192,0.12621892266906798,0.005711906880605966,2.6787375435233116,0.8663767017424107,-0.014894633990479633,0.0029689520997635555,1.1049201227724552,0.8743639420717955
9216,9216,0.10667640541214496,0.005294883587339427,2.5953354462981224,0.8671339862048626,0.02428586914902553,0.0036174406341160648,0.6439984487369657,0.9711959958076477
10240,10240,0.125901582185179,0.006848227400041651,2.631013959646225,0.922617731615901,0.0034214279148727655,0.005674561834894121,0.7708603674545884,0.4997777910903096
11264,11264,0.13098279386758804,0.005803524138173088,2.5238016098737717,1.022363506257534,0.046626439318060875,0.0024465760980092455,0.5054435059428215,2.150421503931284
12288,12288,0.13635416235774755,0.005159415130037814,2.3735595643520355,1.0153239723294973,0.008331768214702606,0.0024375598804908805,0.16610294044949114,2.1870071217417717
