step,agv_actor_loss,agv_value_loss,agv_entropy,agv_approx_kl,pick_actor_loss,pick_value_loss,pick_entropy,pick_approx_kl,agv_grad_norm,pick_grad_norm
1024,0.14161465922370553,0.2683454970829189,4.5842927396297455,1.6380099691450596,0.17503666481934488,0.08402989455498755,4.547921195626259,1.9294715858995914,1.8943355605006218,0.9902202496305108
2048,0.11413032468408346,0.25162912951782346,4.19575759768486,1.2353057749569416,0.13585117168258876,0.08710770809557289,3.9160133823752403,1.2592297028750181,0.7981297634541988,0.6272468734532595
3072,0.07672282325802371,0.10455574153456837,4.252874433994293,1.039985530078411,0.08915004949085414,0.03499075415311381,4.1310857236385345,1.3490663841366768,1.3498869063332677,0.7755801947787404
4096,0.09123994447872974,0.25346791511401534,3.771626800298691,0.901909589767456,0.05410610025865026,0.07642673351801932,3.0056968182325363,0.8577881213277578,1.0594265218824148,0.6460417052730918
5120,0.08625867040245794,0.29235416650772095,3.534214697778225,0.7160389516502619,0.07594595858245157,0.10237539501395077,2.967476323246956,0.6803755173459649,1.4861432872712612,0.7235655840486288
6144,0.06333390201325528,0.43598706275224686,3.264014132320881,0.5700358934700489,0.061784127552527934,0.13650080119259655,2.786580339074135,0.5706186965107918,1.2486702892929316,0.879376376979053
7168,0.06156121063395403,0.15403855312615633,2.964804023504257,0.4666769988834858,0.02085155324311927,0.0424102782853879,2.3793924003839493,0.40997477527707815,1.1075888741761446,0.66271030344069
8192,0.03341877451748587,0.30641489941626787,2.7374767065048218,0.3966375635936856,0.017185445612994954,0.10839015431702137,2.2695408537983894,0.3747766618616879,0.9817874794825912,0.704950924962759
9216,0.03234059299575165,0.19708938035182655,2.7827028781175613,0.40274124778807163,0.0589003402274102,0.05951411847490817,3.4006276577711105,0.8270064238458872,0.8269506301730871,0.6801104582846165
10240,0.026602995581924915,0.3985566315241158,2.5531135946512222,0.3476748438552022,0.05258297955151647,0.09033867705147713,2.6354110911488533,0.5034388499334455,1.1035156715661287,0.6357771269977093
11264,0.01860003874753602,0.30515440506860614,2.3902625888586044,0.3131760573014617,0.04988373978994787,0.07755125418771058,2.496391788125038,0.43517839163541794,0.8738181795924902,0.6595871271565557
12288,0.02620184402621817,0.23612382751889527,2.475939467549324,0.3505513723939657,0.04454417506349273,0.056845257931854576,2.823967643082142,0.5370082668960094,0.7752235326915979,0.5744082992896438
13312,0.03302037954563275,0.2602165276184678,2.7303856760263443,0.4047765042632818,0.030631738540250808,0.04197304917033762,2.9876525923609734,0.7018943848088384,1.2442384790629148,0.5787785844877362
14336,0.0338799491073587,0.3995921928435564,2.839023970067501,0.42053693532943726,0.040764438919723034,0.08557063370244578,3.184132918715477,0.7036194894462824,1.322732713073492,0.9047907460480928
15360,0.029539763840148225,0.5413243947550654,2.811915412545204,0.4074256559833884,0.05543179501546547,0.14088457764592022,2.8305176347494125,0.5918644033372402,1.4882273208349943,0.8760227505117655
16384,0.025152963658911176,0.2985562547110021,2.256163537502289,0.297549108043313,0.05276340706041083,0.048083508212585,2.070556916296482,0.3488184353336692,1.0982186887413263,0.7219720054417849
17408,0.021827595002832823,0.47777106054127216,2.636186234652996,0.36550108529627323,0.02264535432914272,0.10302375687751919,2.553698256611824,0.4824425457045436,1.363961260765791,0.8221243256703019
18432,0.029866027252865024,0.31322485813871026,2.5733665376901627,0.3588985241949558,0.03323779001948424,0.056353211228270084,2.828885167837143,0.6369448797777295,1.2169892564415932,0.5721043199300766
