step,agv_actor_loss,agv_value_loss,agv_entropy,agv_approx_kl,pick_actor_loss,pick_value_loss,pick_entropy,pick_approx_kl
1024,0.17596622183918953,0.04715967644006014,4.50796702504158,1.561217151582241,0.22546655219048262,0.011481083667604253,4.406700864434242,1.7263170517981052
2048,0.11026225320529193,0.021965131716569886,3.610941991209984,0.7710553109645844,0.06177030599792488,0.009026653729961254,3.2001867815852165,0.4626968940719962
3072,0.057813085382804275,0.021409083681646734,2.9389931708574295,0.3929493986070156,-0.00023735903960186988,0.006851993384771049,2.561989076435566,0.17917156964540482
4096,0.03877057998033706,0.0109478348022094,2.798058904707432,0.3265900267288089,-0.002880844709579833,0.004773845554154832,2.5432315543293953,0.14791406970471144
5120,0.046446600521449,0.012477626383770257,2.6581864655017853,0.32466616947203875,0.12620364676695317,0.003631978888734011,2.5807406082749367,0.394439528696239
6144,0.021036464953795075,0.01352934492751956,2.153096280992031,0.32228934951126575,0.18840759620070457,0.0065131539304275066,2.535891093313694,1.3947129026055336
7168,-0.009074164481717162,0.00612977211130783,1.8965182825922966,0.2062485977075994,0.12355152971576899,0.0030909070701454766,2.2360713109374046,0.7702392358332872
8192,0.004389709647512063,0.006012478013872169,1.794078066945076,0.20111819868907332,0.08830534873413853,0.002103129096212797,1.9577160067856312,0.6091613359749317
9216,0.006100372047512792,0.004092499824764673,1.6378149800002575,0.18995143147185445,0.07575615655514412,0.0021279286775097717,1.9167283177375793,0.5064543364569545
10240,0.000374589508282952,0.006876412327983417,1.7944960482418537,0.19962224923074245,0.04355595604283735,0.0031040262219903525,1.8207198195159435,0.4207075498998165
11264,-0.0049182223447132856,0.0009468985354033066,1.483382735401392,0.16555048851296306,0.017869180082925595,0.000880826921275002,1.615788795053959,0.30842973105609417
12288,-0.009784145895537222,0.00038594989109697053,1.6724053472280502,0.18865995621308684,0.015810359953320585,0.0004154664235329619,1.482679396867752,0.25973026594147086
13312,0.00181173364399001,0.0002762921126304718,1.7300700917840004,0.17647485015913844,0.02017946781415958,0.0004365924032754265,1.5229205898940563,0.24880529893562198
14336,-0.006357182530337013,0.003949267331336159,1.6799642480909824,0.16428774688392878,0.0029598472101497464,0.0013695105990336742,1.5058880597352982,0.2268377859145403
15360,-0.006000639667036012,0.0035511065434548073,1.5311786904931068,0.1658641044050455,0.0024440627166768536,0.002804194959026063,1.3836449198424816,0.2040703664533794
16384,-0.0008034072816371918,0.001844228205300169,1.282377701252699,0.13557640626095235,-0.00048535209498368204,0.0011159920068166684,1.277675200253725,0.1771350377239287
