step,total_steps,agv_actor_loss,agv_value_loss,agv_entropy,agv_approx_kl,pick_actor_loss,pick_value_loss,pick_entropy,pick_approx_kl
1024,1024,0.18870133580639958,0.08377135579939932,4.598993629217148,1.4390678592026234,0.24755247356370091,0.12249174830503762,4.561745420098305,3.9593748599290848
2048,2048,0.10732026293408126,0.05897810647729784,3.913828283548355,0.7587448693811893,0.23891767114400864,0.06420149665791541,3.945939540863037,3.490968830883503
3072,3072,0.07725684213801287,0.106021094834432,3.4799274876713753,0.6091528423130512,0.18231312232092023,0.14661397435702384,1.9787962883710861,2.311497315764427
4096,4096,0.09857476653996855,0.07645657716784626,3.2758857905864716,0.6780347861349583,0.11125081579666585,0.10724867705721408,1.027418514713645,2.8924010396003723
5120,5120,0.09655575279612094,0.09104480582755059,3.0827672481536865,0.6876924745738506,0.20178490597754717,0.1336384416790679,1.4120224118232727,2.796127066016197
6144,6144,0.0968470920342952,0.11126141343265772,2.825160801410675,0.8345297425985336,0.1809216607362032,0.1645779141690582,2.0124076567590237,1.335736509412527
7168,7168,0.11701725842431188,0.06480099365580827,2.6303214356303215,0.8695473056286573,0.04591175002860837,0.04847231658641249,1.1046001873910427,0.6487560663372278
8192,8192,0.09357004100456834,0.0982824896927923,2.613144777715206,0.6734757646918297,0.19915004959329963,0.10187019396107644,1.052313725464046,1.9205735810101032
9216,9216,0.06916108744917437,0.050885077682323754,2.602681301534176,0.6090226508677006,0.10431199555750936,0.04288409842411056,1.1402262300252914,2.6005569249391556
10240,10240,0.0577809966634959,0.029690689028939232,2.5564826875925064,0.5169479101896286,0.17582591553218663,0.034416307345964015,2.8462159857153893,1.9831299968063831
11264,11264,0.09843890194315463,0.08403892116621137,2.545841470360756,1.0566538870334625,0.08179432124597952,0.11291202390566468,0.9877266120165586,0.9874806702136993
12288,12288,0.10435905039776117,0.10387930809520185,2.6191380247473717,0.9048218503594398,0.08754537557251751,0.10239345906302333,0.7775611765682697,1.14549364708364
13312,13312,0.12127245916053653,0.0937806370202452,2.7230106070637703,0.8349354825913906,0.08068013854790479,0.12273117934819311,0.6284345025196671,1.8690783493220806
14336,14336,0.08409401186509058,0.140970146516338,2.684563122689724,0.7498676031827927,0.1365531092742458,0.14488407503813505,1.2975176759064198,1.552307728677988
15360,15360,0.11502058559563011,0.11928238021209836,2.5698899626731873,0.9604011010378599,0.07299079743097536,0.14497966459020972,1.0852776765823364,1.229483399540186
16384,16384,0.1291378290625289,0.07372130756266415,2.7014723122119904,1.1832309775054455,0.05809349482296966,0.10291871917434037,1.1884940527379513,0.927021212875843
17408,17408,0.10247243707999587,0.1398850055411458,2.2685399428009987,0.796712813898921,0.088986903836485,0.09445561794564128,1.293344646692276,1.2769682072103024
18432,18432,0.11546879471279681,0.08035358716733754,2.297064319252968,0.7783911395817995,0.007013465714408085,0.05834838154260069,1.515086580067873,0.45707527780905366
19456,19456,0.09088069765130058,0.08989167597610503,2.214287929236889,0.8068253919482231,0.18190752272494137,0.08317941264249384,0.44812339544296265,1.426328420639038
20480,20480,0.05946764681721106,0.06586596532724798,2.0867197923362255,0.8116628043353558,0.07155964491539635,0.1144021290820092,0.3438020208850503,0.43257053941488266
21504,21504,0.09634524676948786,0.056535774492658675,2.1719880998134613,0.9698023870587349,0.07261291553732008,0.10959462041500956,1.0973284728825092,1.0044811628758907
