step,agv_actor_loss,agv_value_loss,agv_entropy,agv_approx_kl,pick_actor_loss,pick_value_loss,pick_entropy,pick_approx_kl
1024,0.1829439785797149,0.06419067829847336,4.525242939591408,1.5805483050644398,0.19268679432570934,0.02930677612312138,4.444541901350021,1.7783446125686169
2048,0.11321067693643272,0.03064348635962233,3.6817458793520927,0.7504840735346079,0.073135315295076,0.012729759167996235,3.242056518793106,0.501027631573379
3072,0.05434028772288002,0.023324147623497993,3.018432304263115,0.4219504399225116,-0.0057647266658023,0.008809321145236026,2.611198954284191,0.1542627818416804
4096,0.034382491816359106,0.020060709910467267,2.8128111213445663,0.33182776253670454,-0.0030431810882873833,0.004946760811435524,2.559707894921303,0.11205398896709085
