step,agv_actor_loss,agv_value_loss,agv_entropy,agv_approx_kl,pick_actor_loss,pick_value_loss,pick_entropy,pick_approx_kl,agv_grad_norm,pick_grad_norm
1024,0.10572619398590177,0.8410863364115357,4.571366026997566,1.680338080972433,0.1240431311307475,1.3218115288764238,4.492905467748642,1.710462048649788,1.7540752179920673,3.0600425973534584
2048,0.1355546850245446,1.6977274008095264,4.156650193035603,1.4771593660116196,0.13931197312194854,2.3267329931259155,3.5294871479272842,1.2043295819312334,2.7264267168939114,5.252230867743492
3072,0.07738134393002838,1.1182839218527079,3.1893479004502296,0.9263256639242172,0.0325579812633805,1.478445267304778,2.202858503907919,0.3845542068593204,2.2598338592797518,4.132927697151899
4096,0.09143808578664903,0.8829959649592638,2.866209976375103,0.8368673380464315,0.005301397730363533,0.6773382052779198,1.6197345852851868,0.21951930364593863,3.739865556359291,4.506885472685099
5120,0.08338901115348563,0.5837475061416626,2.831422634422779,0.6907417997717857,-0.0038828203978482634,0.6321575590409338,1.51062798127532,0.19300634041428566,2.0903506372123957,3.6610156409442425
6144,0.061377763166092336,0.778751427307725,2.6411580443382263,0.5752088353037834,-0.001520222911494784,0.8596238493919373,1.4306571409106255,0.17986416583880782,2.529436483979225,3.762037880718708
7168,0.05910308728925884,0.8604035535827279,2.558782786130905,0.5286492574959993,-0.0006173683796077967,1.044951300136745,1.478010855615139,0.1911449464969337,1.9233347810804844,5.739320028573275
8192,0.04020789840433281,0.741023289039731,2.3775153309106827,0.4211413413286209,0.0029095323116052896,0.9386321725323796,1.567632518708706,0.20942801423370838,1.5567955318838358,3.848478812724352
9216,0.02740669574995991,0.33162112068384886,2.097495786845684,0.3695188108831644,-0.0032236874394584447,0.2990166419185698,1.4956708028912544,0.19300619140267372,2.0163982454687357,3.550516400486231
10240,0.007890289212809876,0.4518967317417264,1.9676616191864014,0.2969047175720334,-0.001877642353065312,0.47374851536005735,1.4539821594953537,0.18612422095611691,2.237655369564891,2.9714762568473816
11264,0.015072667883941904,0.5436485670506954,1.8503034636378288,0.24953115172684193,0.0020777141326107085,0.689181603025645,1.5931211858987808,0.2075174730271101,1.764569390565157,4.156259752810001
12288,0.0045274134681676514,0.6505529228597879,1.7962952069938183,0.24123885994777083,-0.00644276337698102,0.5034460281021893,1.4784320183098316,0.1849748743698001,1.8653586897999048,3.5923690870404243
13312,0.008426623753621243,0.379481989890337,1.7034279294312,0.24856266425922513,-0.0074860319145955145,0.38021297729574144,1.6269736252725124,0.22231764532625675,1.4759758710861206,3.0186484046280384
14336,0.007702187373070046,1.0616679228842258,1.515450630337,0.19551726849749684,-0.0042217717855237424,0.5286205904558301,1.4182214513421059,0.17911390867084265,3.216492436826229,3.4341070502996445
15360,-0.003089322621235624,0.6078376518562436,1.5681543573737144,0.18408982688561082,0.0007386595534626395,0.43775000143796206,1.4723826013505459,0.19078473560512066,2.201421793550253,5.1110426634550095
16384,0.0012977223959751427,0.39586802246049047,1.4727876484394073,0.17509044101461768,-0.0006689516885671765,0.48405871633440256,1.3806608133018017,0.18152535194531083,1.7578610237687826,4.559245936572552
17408,0.002412001049378887,0.7844213917851448,1.6588845998048782,0.18709870474413037,-0.002474302047630772,0.5982472519390285,1.515765517950058,0.19907394517213106,2.41877456381917,3.7479648254811764
18432,-0.00397695621359162,1.0543798264116049,1.6310813203454018,0.18236052291467786,-0.003821027057711035,0.8567330688238144,1.5140726491808891,0.2059429893270135,2.587851896882057,4.144317872822285
19456,0.0035733307886403054,1.206931184977293,1.7153192684054375,0.18110890919342637,-0.007447195966960862,0.9094301080331206,1.4412692114710808,0.18347353907302022,3.5889954082667828,4.470863349735737
20480,0.00655799474043306,1.2942991759628057,1.7703815773129463,0.19679532619193196,-0.006416501666535623,1.06377624720335,1.3250158987939358,0.16714324289932847,3.771254889667034,6.492414213716984
21504,0.0004021064378321171,0.6029874300584197,1.7147287800908089,0.2016918151639402,0.0017414440808352083,0.6169273783452809,1.6523189507424831,0.23227007873356342,2.829382114112377,4.547064237296581
22528,0.002000809327000752,0.6485084155574441,1.644282329827547,0.20416257064789534,0.00011319707846269011,0.6773560997098684,1.2811852544546127,0.1618311326019466,3.4095575101673603,5.396155871450901
23552,0.003591705550206825,1.2053138837218285,1.6411960534751415,0.19513545790687203,-0.00504102953709662,0.7521605547517538,1.4129129685461521,0.17954295175150037,2.8800701834261417,4.2240984328091145
24576,-0.0019667888482217677,1.2128373626619577,1.6172559782862663,0.17325818026438355,-0.0018136576109100133,0.7154964031651616,1.4595440439879894,0.18970555672422051,3.0954614244401455,4.162516415119171
25600,0.0009195822785841301,1.3794668167829514,1.6943752095103264,0.19527174811810255,0.0022952425060793757,0.8531079217791557,1.3614201173186302,0.17009558249264956,3.2042003758251667,4.768103137612343
26624,-0.0009645958489272743,0.9590584598481655,1.7511640079319477,0.1925700232386589,-0.0021417182870209217,1.0166135914623737,1.4891504272818565,0.1929378304630518,3.1803484484553337,5.970591425895691
27648,-6.540826871059835e-05,0.807370588183403,1.6934011802077293,0.19209212809801102,-0.01110550865996629,0.8663258897140622,1.446798425167799,0.18861141242086887,2.343364045023918,4.935086917132139
28672,0.0015987358638085425,1.0713705401867628,1.6012392230331898,0.19286996964365244,-0.005178026971407235,0.7512882929295301,1.2003761008381844,0.14524542028084397,2.9377554431557655,5.049630641937256
29696,0.001405165734468028,0.9797210022807121,1.7181067913770676,0.1909849103540182,-0.003904146025888622,0.7916989317163825,1.5127502381801605,0.1972678774036467,3.1247544176876545,5.216424562036991
30720,-0.0005488569877343252,0.6537231737747788,1.6757283136248589,0.1925486638210714,0.0009504390473011881,0.7501704795286059,1.1359171532094479,0.1382475954014808,2.228561706840992,4.296837288886309
31744,0.0031587245757691562,1.093241697177291,1.6853552907705307,0.20848845457658172,-0.013833955337759107,0.7214916218072176,1.3382039703428745,0.1732035642489791,3.228685464709997,3.70436879619956
32768,-0.0004996306088287383,1.0860706381499767,1.6881177499890327,0.19148384220898151,-0.004671373142627999,0.8042110074311495,1.3308739513158798,0.16555441170930862,3.3130352050065994,4.089369375258684
33792,0.0029011393198743463,0.4617222370579839,1.5330622233450413,0.18793782591819763,-0.014164114487357438,0.3193635295610875,1.4040299467742443,0.17913978919386864,1.7335120346397161,2.7912502810359
34816,0.0008395365293836221,1.2030993457883596,1.5989826060831547,0.19770461972802877,-0.015964586229529232,0.8480238690972328,1.4617962539196014,0.22702237288467586,2.273288816213608,3.5401419922709465
35840,0.00029015570180490613,0.9068860160186887,1.6690591089427471,0.1974805472418666,-0.018699220177950338,0.8146939072757959,1.5365876071155071,0.24290324514731765,2.334878411144018,3.5900619104504585
36864,-0.001226542517542839,1.0231122095137835,1.6100519485771656,0.16509665409103036,0.00694725924404338,1.1714482624083757,0.492152257822454,0.04986214841483161,2.3195028603076935,5.049765460193157
37888,-0.0006252468956517987,0.6134634604677558,1.568085078150034,0.195142294280231,0.0006694080075249076,0.34836513246409595,0.4976438209414482,0.04678691178560257,1.840466059744358,2.2821946404874325
38912,-0.0007288686028914526,0.6940822945907712,1.5800421722233295,0.1803349880501628,-0.010783884514239617,0.5389042403548956,1.285014595836401,0.17361728264950216,2.0440543107688427,3.0896127969026566
39936,-0.00046762649435549974,0.728932349011302,1.5925689823925495,0.16516773588955402,-0.020531278249109164,1.0867913030087948,1.231728132814169,0.1763694656547159,2.010457020252943,3.9224970787763596
40960,-0.0015254477475536987,0.8040969185531139,1.5097162127494812,0.16794662177562714,-0.02237244084244594,0.7493602922186255,1.3811676297336817,0.2417087929788977,1.9501119554042816,3.0021739937365055
41984,0.0010493354493519291,1.0454290676862001,1.4093967340886593,0.16861589765176177,-0.013065073202596977,0.8590008169412613,0.9150268472731113,0.15562417590990663,1.6921972688287497,3.816461093723774
43008,-0.0054814724426250905,1.8042202033102512,1.4513629451394081,0.16406437382102013,-0.007690718863159418,1.217233695089817,1.027163477614522,0.17782191652804613,2.549243487417698,5.339275993406773
44032,-0.001777809375198558,1.012604959309101,1.3124175034463406,0.15688561368733644,0.002842115209205076,0.7709548119455576,1.0166024938225746,0.1665370943956077,2.2346842251718044,3.497249200940132
45056,-0.003960667469073087,1.2579234037548304,1.4989233575761318,0.1687823454849422,-0.012233622750500217,1.151124283671379,1.0849364753812551,0.16963248024694622,2.7331342548131943,4.33266919106245
46080,-0.004951273338519968,0.9856861475855112,1.513756562024355,0.1728151636198163,-0.0011808261915575713,0.8326374851167202,0.9712593983858824,0.13036573817953467,2.618623148649931,3.8586402907967567
47104,-0.0033129159128293395,1.9120631329715252,1.6022143922746181,0.17392657604068518,-0.010025356721598655,1.814360747113824,1.3168960288167,0.19492056500166655,3.2976044937968254,5.586237654089928
48128,-0.00033680294291116297,1.1623910870403051,1.5885031335055828,0.17205822421237826,-0.013799822409055196,0.5925852707587183,1.1351677495986223,0.15655991341918707,3.348405309021473,4.335025288164616
49152,-0.004231083192280494,0.9337238986045122,1.4277216009795666,0.1669327737763524,-0.005490520095918328,0.7252341629937291,1.0349343307316303,0.14344538224395365,2.154768420383334,4.115131296217442
50176,-0.0010502843069843948,1.1029642149806023,1.5226893909275532,0.17785796197131276,-0.013847679365426302,1.332254814915359,1.5951465591788292,0.2495382814668119,2.922525465488434,3.8705618157982826
51200,0.0037442986795213073,1.7084746696054935,1.6929988525807858,0.19134869147092104,0.0013172094622859731,1.352980062365532,1.0864800699055195,0.165894657606259,2.947448719292879,4.215659871697426
