step,agv_actor_loss,agv_value_loss,agv_entropy,agv_approx_kl,pick_actor_loss,pick_value_loss,pick_entropy,pick_approx_kl
1024,0.20229695830494165,0.06978783634258434,4.498454138636589,1.5461510643363,0.18118167691864073,0.04761981466435827,4.498543530702591,2.1346949078142643
2048,0.04470410346402787,0.041430857381783426,3.409460701048374,0.4108018660917878,0.09716536971973255,0.011517749037011527,3.024277701973915,0.64862528629601
3072,0.0032302449108101428,0.04176143871154636,2.9388600289821625,0.20089613599702716,0.022730363736627623,0.011569301212148275,2.1937553733587265,0.46268980484455824
4096,0.008730218018172309,0.044617272331379354,2.857742100954056,0.1843373733572662,0.058194023120449856,0.004165636102698045,2.0296429581940174,0.4560452355071902
5120,0.0558256540534785,0.020935771375661716,2.8291178941726685,0.35999687016010284,0.027655591155053116,0.002634146898344625,1.8063630424439907,0.298423838801682
6144,0.07606255554128438,0.03382749517913908,2.7949399203062057,0.6549340393394232,0.015037594421301037,0.0009800931438803673,1.4482493735849857,0.2567570046521723
7168,0.09085257799597457,0.023897831997601315,2.718850962817669,0.6998282875865698,0.0032107623701449484,0.0011875416280417994,1.2321054078638554,0.1814716407097876
8192,0.077950401668204,0.03331484709633514,2.722178064286709,0.5755507294088602,0.008090427611023188,0.0007060170196382387,1.2108401507139206,0.16129259811714292
9216,0.06378168042283505,0.035195090866182,2.7667512372136116,0.5244520660489798,-0.0035872255539288744,0.0005648670637583564,1.202824454754591,0.15320587111636996
10240,0.09624630317557603,0.03389925416558981,2.798415891826153,0.5573302358388901,-0.0038737706490792334,0.0015621718894180958,1.2187250591814518,0.1602256097830832
11264,0.04447411763248965,0.01348711273749359,2.398263953626156,0.2958628023043275,0.0054830447770655155,0.00033434116198804986,1.1526614055037498,0.1397281503304839
12288,0.0006440365687012672,0.0184625287365634,2.322638377547264,0.17237120820209384,0.00031603858224116266,0.00019339481326596797,1.2897573672235012,0.15252281911671162
13312,0.0011386035766918212,0.013594311196357012,2.3231515362858772,0.17628179863095284,-0.0025749066116986796,0.00020976446955955907,1.3949767723679543,0.182606705930084
14336,0.018001574047957547,0.02485750272171572,2.2688727378845215,0.26786887366324663,0.0028698621899820864,0.008078534607193433,1.401668917387724,0.1999751548282802
15360,0.044388798138243146,0.029064026311971247,2.0612871572375298,0.31165753211826086,-0.003285745275206864,0.0030210818877094425,1.4226883463561535,0.20037572644650936
16384,0.014260928655858152,0.04956142313312739,1.7802898399531841,0.247312952298671,-0.012066141905961558,0.009107816651521716,1.345016971230507,0.18425806518644094
17408,0.013935785420471802,0.042671165778301656,1.7135408334434032,0.22368727019056678,0.007302872429136187,0.001628474194149021,1.284112524241209,0.1762280622497201
18432,0.0036847394512733445,0.026493990910239518,1.4537612609565258,0.1752549479715526,0.006290232005994767,0.0005842103901159135,1.2878296971321106,0.17735772766172886
19456,0.007376029709121212,0.02202671649865806,1.5765457153320312,0.1734570269472897,-0.02303390798624605,0.000338347228080238,1.4838800951838493,0.19112479221075773
20480,0.007797413505613804,0.0368921515182592,1.5146139301359653,0.20044633699581027,-0.015767174860229716,0.006398962203093106,2.5073783807456493,0.6447765869088471
21504,0.014293336047558114,0.030179546622093767,1.6305263005197048,0.2115410454571247,0.012964681402081624,0.001139018226240296,1.135695280507207,0.2680554795078933
