step,total_steps,agv_actor_loss,agv_value_loss,agv_entropy,agv_approx_kl,pick_actor_loss,pick_value_loss,pick_entropy,pick_approx_kl
1024,1024,0.16969469795003533,0.08184093586169183,4.516199678182602,1.2503459211438894,0.2829564120620489,0.12806729087606072,4.563239485025406,3.7222103774547577
2048,2048,0.0797665894497186,0.05879477644339204,3.9314522072672844,0.6981995441019535,0.20039556454867125,0.10945594368968159,3.3710051476955414,3.2523033395409584
3072,3072,0.05650839366717264,0.018773026298731565,3.562498055398464,0.5053882766515017,0.12529043131507933,0.013757621010881849,2.0366942547261715,0.9082195293158293
4096,4096,0.037888561841100454,0.005876136012375355,3.3752267882227898,0.3799953032284975,-0.007018793956376612,0.003117435939202551,1.160986389964819,0.20347136678174138
5120,5120,0.06424910106579773,0.009706557335448451,3.3251809030771255,0.4324414497241378,0.12370402226224542,0.005098271802125964,1.1540683340281248,0.5184703702107072
6144,6144,0.1131645196583122,0.030305712309200317,3.1321074813604355,0.8835573326796293,0.19830891955643892,0.03949715633643791,1.4315388649702072,3.111979618668556
7168,7168,0.07518123218324035,0.028622205718420446,2.60839182138443,0.6710172947496176,0.11714678851421922,0.04436396562959999,1.5355688035488129,1.5287642404437065
8192,8192,0.051850023766746745,0.008752742563956417,2.5304591953754425,0.5778353419154882,0.14629581314511597,0.017455860404879786,0.6984205078333616,5.7000842690467834
9216,9216,0.07718309882329777,0.00613290052569937,2.445475362241268,0.4889826998114586,0.2475148173980415,0.0018901322036981583,0.16904980270192027,9.347270905971527
10240,10240,0.05803392315283418,0.008258808382379357,2.3938810378313065,0.5683707986027002,0.08369315380696207,0.010834667438757606,0.17556972382590175,7.042782157659531
11264,11264,0.08827058295719326,0.030124065349809825,2.4638519063591957,0.9708850719034672,0.006082065810915083,0.05018828238826245,0.19273502938449383,0.8100288612768054
12288,12288,0.12474573601502925,0.019539949134923518,2.5777716264128685,1.0632021613419056,0.04281488445121795,0.017963449441595003,0.27692532166838646,1.7238449677824974
13312,13312,0.10092335368972272,0.04530594521202147,2.566327303647995,0.8035847544670105,0.011356563802110031,0.05278016021475196,0.40574927907437086,0.8765930701047182
14336,14336,0.11279381671920419,0.037318396964110434,2.643500477075577,0.791569322347641,-0.006219078175490722,0.04213188530411571,0.3249134053476155,1.9473070986568928
15360,15360,0.06412167596863583,0.03475108044221997,2.6069801822304726,0.8725492767989635,0.022556842013727874,0.04153569362824783,0.14900006726384163,1.2282248828560114
16384,16384,0.10345352895092219,0.03790339798433706,2.4761950224637985,1.0517050176858902,-0.0011095532099716365,0.04621671966742724,0.1474071596749127,1.047718696296215
17408,17408,0.10948855755850673,0.03486166277434677,2.4510058760643005,0.925503309816122,0.027874074963619933,0.040616944374050945,0.2065356746315956,2.043504264205694
18432,18432,0.1200724575901404,0.03181603003758937,2.5190359875559807,0.861211933195591,0.01982323409174569,0.012533699366031215,0.22506867162883282,1.8553813993930817
19456,19456,0.11858697514981031,0.0153652087028604,2.3824492692947388,0.8427430912852287,0.04147892547189258,0.008881952671799809,0.7736137164756656,2.0528940223157406
20480,20480,0.08845801569987088,0.04212779918452725,2.3912950679659843,0.8531235419213772,0.0029617395775858313,0.042594662110786885,0.9985370356589556,1.428394790738821
21504,21504,0.11929191695526242,0.03337079583434388,2.605006903409958,1.0318387914448977,-0.00739817600697279,0.03439014725154266,2.187460944056511,0.6381908725015819
22528,22528,0.08636236272286624,0.027250070357695222,2.4390047192573547,0.6925950665026903,0.004372273193439469,0.026326622552005574,0.9283006824553013,0.7391465790569782
23552,23552,0.08989555959124118,0.0316061747726053,2.401936300098896,0.9499877691268921,-0.002738375580520369,0.026378813781775534,0.20460761745925993,1.8460830450057983
24576,24576,0.10315066366456449,0.019435471011092886,2.4917017221450806,0.9752397872507572,0.010271060687955469,0.022665261931251734,0.03338248550426215,2.0160232856869698
25600,25600,0.08777075633406639,0.04762893065344542,2.3720449805259705,0.8340966906398535,0.014493291993858293,0.06483634142205119,0.03669894335325807,3.0147193372249603
26624,26624,0.08594102336792275,0.037406983610708266,2.459037125110626,0.8449361193925142,0.04151799494866282,0.04770572826964781,0.061144316918216646,2.1360121965408325
27648,27648,0.10803940438199788,0.02446727582719177,2.1835167333483696,0.9556232504546642,-0.008738618926145136,0.041843776823952794,0.08103714836761355,3.6436919271945953
28672,28672,0.11256265116389841,0.02444735897006467,2.3369087502360344,1.1483598202466965,0.009145619726041332,0.031094146193936467,0.16964912973344326,2.5830913186073303
29696,29696,0.03471206066024024,0.012095139260054566,1.9959681555628777,0.5253318613395095,0.13043143087998033,0.02148427430074662,0.3631232485640794,5.966832622885704
30720,30720,0.0682434230693616,0.03814450581558049,2.269313171505928,0.7021181434392929,0.009767406241735443,0.02156011128681712,1.6028579398989677,2.085356768220663
31744,31744,0.0902068504365161,0.048711712821386755,2.5012460350990295,0.8326324764639139,0.0343095458811149,0.06821688381023705,0.41440225020051,1.5877233892679214
32768,32768,0.0766701837128494,0.03812125505646691,2.3515645265579224,0.7210459858179092,-0.016867016296600923,0.060778104001656175,0.18223936576396227,2.641253001987934
33792,33792,0.06937946088146418,0.050093223282601684,2.267660655081272,0.7831654734909534,0.012188381544547155,0.0880777018610388,0.1686423788778484,3.2420080453157425
34816,34816,0.06255834706826136,0.04253005894133821,2.1283320635557175,0.7569988053292036,0.057883597910404205,0.07053872453980148,0.17617437662556767,4.764362961053848
35840,35840,0.10895980551140383,0.044756752089597285,2.144597865641117,0.9510752223432064,0.07857123092981055,0.03714434400899336,0.46241679252125323,4.115070886909962
36864,36864,0.11038376181386411,0.027775706083048135,1.9265950620174408,0.8574552554637194,0.007973707397468388,0.04515443684067577,0.52113341470249,2.163337893784046
37888,37888,0.07840361673152074,0.02610655565513298,2.043882980942726,0.8567104544490576,0.012021950620692223,0.033241875120438635,0.16118207620456815,2.1785087175667286
38912,38912,0.08299793204059824,0.032812791236210614,2.0651511661708355,0.9642019551247358,0.000582252541789785,0.04730433225631714,0.08540005306713283,3.9793114438652992
39936,39936,0.0998890707269311,0.026820324128493667,2.3229888901114464,0.8429470751434565,0.01909027309739031,0.03349897009320557,0.07669331855140626,3.8401867747306824
40960,40960,0.07767158118076622,0.04633115814067423,2.239187531173229,0.7318060081452131,-0.0037497675220947713,0.05039356811903417,0.06117830879520625,1.6736139096319675
41984,41984,0.0748186576529406,0.03059448313433677,2.172250635921955,0.8090399783104658,-0.009174941456876695,0.04769423673860729,0.06337339454330504,3.110448829829693
43008,43008,0.07421694960794412,0.03650483750971034,2.118621289730072,0.7339335661381483,-0.00726734209456481,0.04423798422794789,0.04628325218800455,5.7007065415382385
44032,44032,0.060172628349391744,0.01684943333384581,2.0423854254186153,0.703116063028574,0.04704748565563932,0.026745345094241202,0.029562077368609607,8.864209085702896
45056,45056,0.0637029735953547,0.02333711745450273,2.048232212662697,0.68842120654881,0.1634271943476051,0.010764078993815929,0.027942026092205197,9.192380845546722
46080,46080,0.06044361542444676,0.03084117831895128,1.766755297780037,0.7140434104949236,0.05471038946416229,0.02231848269002512,0.06032848102040589,0.5080506978556514
47104,47104,0.07885738176992163,0.03429654840147123,1.9451124928891659,0.8045275490731001,0.016076717554824427,0.03103939665015787,0.4459385937079787,0.39932378893718123
48128,48128,0.09047201520297676,0.0262009390280582,2.178337126970291,0.9345971383154392,-0.00831210837350227,0.0417008699150756,1.1552218245342374,1.1030525099486113
49152,49152,0.07858130184467882,0.014319078589323908,1.7567731961607933,0.7110202554613352,-0.006916141879628412,0.018224981002276763,1.1694649877026677,0.945844603702426
50176,50176,0.1389835278969258,0.02594718779437244,2.2104287445545197,0.9667734913527966,0.020581233460688964,0.014702990010846406,0.2545714001171291,2.617606855928898
51200,51200,0.041824367275694385,0.018897039160947315,1.8872186951339245,0.5758643094450235,0.08088174439035356,0.011130951941595413,0.04360438114963472,0.342909780330956
52224,52224,0.11549920600373298,0.025294271297752857,1.8299767710268497,0.8852950800210238,-0.0020356166060082614,0.022408482764149085,0.03122140606865287,2.7787977308034897
53248,53248,0.07489015499595553,0.006271671263675671,1.856441717594862,0.9256238248199224,-0.0076797493966296315,0.0076317701023072,0.04647071484941989,0.3413936081342399
54272,54272,0.05319646999123506,0.015639496181393042,1.8673605844378471,0.891419343650341,-0.011173700302606449,0.0207680737512419,0.04510171862784773,1.9592581428587437
