step,agv_actor_loss,agv_value_loss,agv_entropy,agv_approx_kl,pick_actor_loss,pick_value_loss,pick_entropy,pick_approx_kl
1024,0.1763383625075221,0.04616195277776569,4.507444083690643,1.5606521479785442,0.22383857797831297,0.012529767584055662,4.407821550965309,1.7279693968594074
2048,0.11036261927802116,0.022151028155349195,3.6078092604875565,0.7697116583585739,0.06431356832035817,0.009217691724188626,3.204121418297291,0.46754389721900225
3072,0.048911363701336086,0.02112107875291258,2.9160817936062813,0.41411977261304855,-0.0006000107387080789,0.006963609586819075,2.5454693511128426,0.18266256991773844
4096,0.04829685782897286,0.009449739329284057,2.790153868496418,0.343573909252882,-0.0032285096385749057,0.004805878863407997,2.495965152978897,0.14147076988592744
5120,0.033945657036383636,0.009963062446331605,2.676679380238056,0.33370469603687525,0.10196245589759201,0.0037590345709759276,2.5928583815693855,0.3760517640039325
6144,0.02921389251423534,0.0044637097817030735,2.019990213215351,0.310103346593678,0.150598170934245,0.002751486525085056,2.378770664334297,1.132021913304925
7168,0.017935771233169362,0.002403770384262316,1.7144600301980972,0.2501717573031783,0.06998931244015694,0.002158893589694344,2.3746614679694176,0.7279769238084555
8192,-0.0019172174506820738,0.0025859105589916,1.5828394815325737,0.1740742246620357,0.05543609143933281,0.0024056937927525723,2.2905432358384132,0.47905777860432863
9216,0.009164942144707311,0.0022431834586313926,1.544119231402874,0.18041841313242912,0.04396431316854432,0.001618687565496657,2.2801909372210503,0.4290703544393182
10240,-0.0024414826184511185,0.0035883128875866532,1.5140364542603493,0.19266506331041455,0.0367370106105227,0.0025703563460410805,2.198488898575306,0.45191603899002075
11264,-0.002866794151486829,0.000994051102679805,1.6739161796867847,0.1669816067442298,0.048053732796688564,0.0020620679961211863,2.0249438509345055,0.6588653493672609
12288,0.007981071976246312,0.0021417043208202813,1.7045397013425827,0.17728146072477102,0.06695520025095902,0.0010024590555985924,1.8748666234314442,0.5738660506904125
13312,-0.011014158968464471,0.001485725295424345,1.809472318738699,0.19728003395721316,0.050410010691848584,0.0010209419660895946,1.6984115205705166,0.5333703765645623
14336,0.0037771032730233856,0.0010387336733401753,1.6988922208547592,0.15727998968213797,0.002897538106481079,0.00043443634422146715,1.4071586728096008,0.3511175159364939
