step,agv_actor_loss,agv_value_loss,agv_entropy,agv_approx_kl,pick_actor_loss,pick_value_loss,pick_entropy,pick_approx_kl
1024,0.17596622183918953,0.04715967644006014,4.50796702504158,1.561217151582241,0.22546655219048262,0.011481083667604253,4.406700864434242,1.7263170517981052
2048,0.11026225320529193,0.021965131716569886,3.610941991209984,0.7710553109645844,0.06177030599792488,0.009026653729961254,3.2001867815852165,0.4626968940719962
3072,0.057813085382804275,0.021409083681646734,2.9389931708574295,0.3929493986070156,-0.00023735903960186988,0.006851993384771049,2.561989076435566,0.17917156964540482
4096,0.03877057998033706,0.0109478348022094,2.798058904707432,0.3265900267288089,-0.002880844709579833,0.004773845554154832,2.5432315543293953,0.14791406970471144
